Price in PLN,Price per meter,Floors in the building,No. of rooms,Location,Floor,Flat area in m2,Szerokosc,Dlugosc
948000.0,11906.56,4.0,3.0,Praga-Południe,1.0,79.62,52.226931306882,21.0615455514603
1150000.0,19166.67,10.0,2.0,Śródmieście,5.0,60.0,52.23566,21.005
6245370.0,27000.0,3.0,5.0,Mokotów,2.0,231.31,52.1869259330616,21.0174470548855
561456.0,11200.0,3.0,2.0,Praga-Południe,2.0,50.13,52.24527778,21.08444444
8996130.0,27000.0,4.0,7.0,Mokotów,3.0,333.19,52.18699,21.02144
425000.0,7428.77,5.0,3.0,Białołęka,1.0,57.21,52.31943,20.99834
844200.0,13380.88,,3.0,Praga-Północ,4.0,63.09,52.2578779926727,21.0393079274991
405900.0,8514.79,5.0,2.0,Włochy,1.0,47.67,52.2082,20.901
445900.0,8501.43,5.0,2.0,Włochy,1.0,52.45,52.2082,20.901
2770754.0,18468.0,2.0,7.0,Praga-Południe,2.0,150.03,52.2344277747728,21.0663935659918
1375472.0,19332.0,2.0,3.0,Praga-Południe,1.0,71.15,52.2344277747728,21.0663935659918
909000.0,9956.19,8.0,4.0,Mokotów,1.0,91.3,52.1768,20.9923
4150000.0,16090.26,2.0,6.0,Wilanów,1.0,257.92,52.1739,21.08445
460000.0,8156.03,3.0,2.0,Białołęka,3.0,56.4,52.3191065191106,21.0577986505862
3700000.0,16606.82,2.0,5.0,Wilanów,0.0,222.8,52.1739,21.08445
2590000.0,18574.3,2.0,6.0,Praga-Południe,0.0,139.44,52.2392015,21.0618432
4350000.0,16781.76,2.0,6.0,Wilanów,2.0,259.21,52.1739,21.08445
379000.0,9880.08,5.0,2.0,Włochy,1.0,38.36,52.2082,20.901
393000.0,8565.82,5.0,2.0,Włochy,1.0,45.88,52.2082,20.901
1890000.0,12237.76,6.0,5.0,Mokotów,6.0,154.44,52.1934,21.0023
1790000.0,14975.32,5.0,4.0,Mokotów,1.0,119.53,52.19416667,21.03083333
800000.0,12961.76,27.0,3.0,Wola,10.0,61.72,52.2285810834951,20.9723965747647
